NULL,NULL,Mobile,UK
Credit Card,Female,Tablet,Germany
Debit Card,Female,Tablet,Germany
Debit Card,Female,Tablet,Australia
PayPal,Female,Desktop,Australia
Cash,Male,Tablet,India
PayPal,Male,Mobile,Germany
PayPal,Female,Mobile,Canada
PayPal,Female,Tablet,Canada
Cash,Female,Mobile,USA
Cash,Female,Tablet,UK
PayPal,Male,Tablet,USA
Cash,Female,Mobile,Canada
PayPal,Female,Mobile,Germany
Cash,Male,Tablet,Canada
Credit Card,Female,Desktop,Germany
PayPal,Male,Tablet,Canada
Cash,Female,Mobile,Australia
PayPal,Female,Mobile,Germany
Credit Card,Male,Desktop,USA
Credit Card,Male,Mobile,UK
Debit Card,Male,Mobile,Germany
Cash,Male,Mobile,UK
Cash,Male,Tablet,UK
Credit Card,Male,Desktop,India
Cash,Male,Mobile,Germany
Cash,Female,Mobile,UK
Cash,Female,Tablet,Germany
Credit Card,Male,Desktop,Germany
PayPal,Female,Mobile,UK
Cash,Female,Desktop,Germany
Cash,Male,Mobile,India
Debit Card,Female,Tablet,UK
Debit Card,Female,Tablet,USA
PayPal,Male,Tablet,India
PayPal,Male,Desktop,USA
PayPal,Male,Tablet,UK
PayPal,Male,Tablet,Canada
Credit Card,Male,Mobile,Australia
PayPal,Female,Tablet,Germany
Debit Card,Male,Tablet,Canada
Debit Card,Female,Mobile,India
PayPal,Female,Desktop,USA
PayPal,Female,Mobile,India
PayPal,Female,Mobile,USA
PayPal,Male,Desktop,Australia
Cash,Female,Tablet,UK
Cash,Female,Tablet,UK
PayPal,Male,Desktop,India
Credit Card,Male,Mobile,Canada
Debit Card,Female,Mobile,USA
Debit Card,Male,Tablet,UK
Credit Card,Female,Mobile,Australia
Debit Card,Female,Desktop,Australia
Cash,Female,Mobile,USA
PayPal,Female,Mobile,USA
Cash,Female,Tablet,Australia
Cash,Female,Tablet,Canada
Credit Card,Female,Desktop,Canada
Credit Card,Male,Tablet,UK
Debit Card,Female,Mobile,Australia
PayPal,Female,Tablet,Germany
Credit Card,Female,Tablet,India
PayPal,Male,Mobile,India
Cash,Female,Desktop,Canada
Cash,Male,Mobile,Canada
Credit Card,Female,Tablet,Germany
Credit Card,Female,Tablet,India
Credit Card,Male,Desktop,Australia
Credit Card,Female,Desktop,Germany
Debit Card,Female,Desktop,Australia
Cash,Female,Desktop,Canada
Debit Card,Female,Mobile,Germany
Debit Card,Female,Tablet,USA
Credit Card,Female,Mobile,UK
Credit Card,Female,Tablet,India
PayPal,Male,Tablet,India
Credit Card,Male,Tablet,Australia
Debit Card,Male,Mobile,India
PayPal,Male,Mobile,USA
Cash,Male,Mobile,India
Credit Card,Male,Mobile,USA
Credit Card,Male,Desktop,USA
PayPal,Female,Mobile,UK
Cash,Female,Tablet,India
Debit Card,Male,Tablet,UK
Credit Card,Male,Tablet,India
PayPal,Female,Tablet,UK
PayPal,Female,Mobile,USA
Credit Card,Male,Tablet,USA
PayPal,Female,Desktop,USA
Debit Card,Female,Tablet,Australia
PayPal,Male,Desktop,India
Debit Card,Female,Tablet,Germany
PayPal,Female,Mobile,Canada
Credit Card,Female,Desktop,India
Debit Card,Male,Tablet,UK
PayPal,Female,Desktop,Canada
Debit Card,Female,Mobile,India
Debit Card,Male,Tablet,Australia
Debit Card,Male,Desktop,India
PayPal,Male,Tablet,Germany
PayPal,Female,Tablet,Australia
Cash,Male,Mobile,UK
PayPal,Female,Tablet,Canada
Credit Card,Female,Tablet,Canada
Cash,Male,Mobile,USA
PayPal,Female,Desktop,UK
Credit Card,Male,Mobile,India
Cash,Female,Mobile,Canada
PayPal,Female,Desktop,UK
PayPal,Male,Desktop,Germany
Credit Card,Male,Tablet,USA
Credit Card,Female,Desktop,India
Debit Card,Female,Tablet,USA
Debit Card,Female,Tablet,Canada
Cash,Male,Mobile,UK
PayPal,Male,Mobile,UK
Debit Card,Male,Mobile,Australia
Credit Card,Male,Desktop,India
PayPal,Male,Mobile,USA
Cash,Female,Mobile,USA
Debit Card,Female,Tablet,Australia
PayPal,Male,Tablet,India
Cash,Female,Mobile,UK
PayPal,Female,Desktop,Australia
Credit Card,Female,Tablet,Canada
Credit Card,Male,Desktop,India
Credit Card,Female,Desktop,India
PayPal,Female,Desktop,Germany
Credit Card,Female,Desktop,UK
PayPal,Male,Tablet,Australia
Credit Card,Female,Desktop,Germany
Cash,Male,Mobile,Australia
Cash,Male,Desktop,Australia
Cash,Female,Tablet,UK
Debit Card,Male,Mobile,Germany
Cash,Male,Desktop,USA
PayPal,Male,Mobile,Germany
Debit Card,Male,Mobile,Australia
Cash,Male,Mobile,Canada
PayPal,Male,Mobile,India
Credit Card,Male,Desktop,UK
Debit Card,Male,Tablet,India
Cash,Male,Mobile,Germany
PayPal,Male,Desktop,Australia
Cash,Female,Mobile,Canada
Credit Card,Male,Tablet,USA
Credit Card,Female,Desktop,India
Debit Card,Male,Mobile,USA
Debit Card,Female,Tablet,Canada
Credit Card,Male,Desktop,Germany
PayPal,Male,Mobile,UK
Debit Card,Male,Desktop,UK
Credit Card,Female,Mobile,India
Credit Card,Male,Tablet,UK
Credit Card,Female,Desktop,Germany
PayPal,Male,Desktop,Canada
Cash,Male,Mobile,USA
Credit Card,Female,Desktop,Germany
PayPal,Male,Mobile,Canada
Cash,Male,Mobile,Canada
Cash,Male,Mobile,Canada
PayPal,Female,Desktop,India
Debit Card,Male,Desktop,USA
Debit Card,Female,Mobile,USA
Cash,Male,Tablet,UK
Debit Card,Male,Desktop,Germany
Debit Card,Male,Tablet,Australia
Debit Card,Male,Tablet,Australia
Debit Card,Female,Tablet,India
PayPal,Female,Mobile,India
Cash,Female,Tablet,Australia
Credit Card,Female,Mobile,USA
Cash,Female,Mobile,Germany
Debit Card,Female,Mobile,UK
Cash,Male,Mobile,USA
PayPal,Female,Desktop,Germany
Cash,Male,Desktop,India
PayPal,Female,Mobile,USA
Cash,Male,Mobile,USA
Cash,Male,Desktop,Australia
PayPal,Male,Desktop,India
PayPal,Male,Mobile,India
PayPal,Male,Desktop,Canada
PayPal,Male,Mobile,UK
Cash,Female,Mobile,USA
Cash,Female,Mobile,Canada
Debit Card,Male,Mobile,India
Debit Card,Male,Tablet,India
Credit Card,Male,Tablet,Canada
PayPal,Female,Mobile,Australia
Debit Card,Male,Mobile,Canada
Debit Card,Female,Tablet,Germany
Cash,Female,Mobile,Australia
Debit Card,Female,Tablet,India
Cash,Female,Tablet,India
Cash,Female,Mobile,Canada
Cash,Female,Desktop,Germany
Debit Card,Male,Tablet,UK
PayPal,Male,Mobile,UK
Debit Card,Male,Tablet,India
PayPal,Female,Tablet,India
Debit Card,Male,Tablet,Australia
Cash,Female,Tablet,Germany
Credit Card,Male,Mobile,Germany
Debit Card,Female,Tablet,USA
Credit Card,Male,Tablet,UK
Credit Card,Female,Tablet,Australia
Debit Card,Male,Tablet,UK
Debit Card,Male,Desktop,India
Debit Card,Female,Desktop,Australia
PayPal,Male,Mobile,India
Credit Card,Female,Mobile,India
Credit Card,Male,Desktop,UK
Debit Card,Male,Mobile,India
Cash,Male,Mobile,Germany
PayPal,Female,Mobile,Australia
Cash,Female,Mobile,Canada
Debit Card,Female,Desktop,Canada
Debit Card,Male,Desktop,UK
Credit Card,Female,Mobile,India
Credit Card,Female,Tablet,UK
Cash,Male,Desktop,UK
Credit Card,Male,Desktop,UK
Credit Card,Male,Mobile,UK
Credit Card,Female,Tablet,Australia
Cash,Female,Tablet,USA
Cash,Female,Desktop,Australia
PayPal,Male,Desktop,Germany
Credit Card,Female,Desktop,Australia
Credit Card,Female,Mobile,USA
Cash,Female,Tablet,India
Debit Card,Female,Tablet,USA
Cash,Female,Mobile,Germany
PayPal,Male,Tablet,Germany
Credit Card,Male,Mobile,Australia
PayPal,Female,Desktop,Germany
Credit Card,Female,Tablet,India
Credit Card,Male,Desktop,India
Cash,Female,Tablet,Germany
PayPal,Female,Tablet,Canada
PayPal,Female,Mobile,USA
Debit Card,Female,Mobile,USA
Credit Card,Male,Desktop,Germany
PayPal,Male,Tablet,India
Cash,Female,Mobile,Germany
Cash,Female,Desktop,UK
Cash,Male,Tablet,USA
Credit Card,Male,Desktop,UK
Debit Card,Male,Mobile,UK
Debit Card,Male,Tablet,Australia
Credit Card,Female,Mobile,Canada
Credit Card,Male,Desktop,Germany
Cash,Male,Mobile,India
Debit Card,Female,Desktop,Germany
Cash,Female,Mobile,Australia
Debit Card,Female,Mobile,Germany
PayPal,Female,Mobile,USA
PayPal,Male,Tablet,UK
PayPal,Female,Mobile,Australia
Cash,Female,Desktop,India
Credit Card,Male,Mobile,UK
Credit Card,Female,Desktop,Canada
Debit Card,Male,Mobile,USA
Debit Card,Female,Desktop,USA
Debit Card,Male,Desktop,Australia
PayPal,Male,Desktop,Australia
Debit Card,Male,Tablet,UK
Cash,Female,Desktop,UK
Cash,Male,Desktop,Canada
Cash,Male,Desktop,Australia
PayPal,Male,Tablet,UK
PayPal,Female,Desktop,USA
PayPal,Male,Mobile,India
Cash,Female,Tablet,Australia
Cash,Female,Mobile,Canada
Debit Card,Female,Desktop,India
Cash,Male,Tablet,Germany
Cash,Male,Desktop,Australia
Credit Card,Female,Tablet,India
Debit Card,Female,Desktop,USA
Cash,Female,Tablet,Canada
PayPal,Male,Tablet,India
Cash,Female,Tablet,USA
PayPal,Male,Desktop,Australia
Credit Card,Male,Mobile,Germany
Debit Card,Male,Tablet,Canada
Debit Card,Male,Tablet,Germany
Cash,Male,Mobile,USA
Debit Card,Female,Desktop,Canada
Credit Card,Female,Mobile,Germany
PayPal,Male,Tablet,Germany
Credit Card,Female,Tablet,Canada
PayPal,Male,Desktop,Germany
Credit Card,Female,Mobile,Australia
PayPal,Male,Mobile,Germany
PayPal,Female,Mobile,Germany
Debit Card,Male,Tablet,Germany
Debit Card,Male,Tablet,Canada
Debit Card,Female,Tablet,Australia
PayPal,Male,Mobile,India
PayPal,Female,Mobile,USA
Debit Card,Female,Mobile,UK
PayPal,Female,Desktop,UK
Debit Card,Female,Mobile,India
Credit Card,Female,Tablet,USA
Credit Card,Male,Desktop,Australia
PayPal,Male,Mobile,India
Debit Card,Male,Desktop,USA
Cash,Male,Tablet,Canada
Credit Card,Female,Desktop,USA
Credit Card,Female,Desktop,Australia
PayPal,Female,Desktop,USA
Credit Card,Female,Mobile,USA
Debit Card,Male,Tablet,Germany
Credit Card,Female,Desktop,UK
Debit Card,Female,Mobile,Germany
Credit Card,Male,Desktop,India
PayPal,Male,Tablet,India
PayPal,Male,Tablet,Germany
Cash,Female,Desktop,Australia
Cash,Female,Desktop,UK
PayPal,Female,Desktop,Australia
Cash,Female,Mobile,Canada
PayPal,Male,Desktop,India
Debit Card,Male,Tablet,UK
Debit Card,Female,Tablet,USA
PayPal,Male,Tablet,Germany
Cash,Male,Mobile,Germany
Debit Card,Female,Mobile,Germany
Cash,Male,Mobile,Germany
Cash,Male,Tablet,Canada
Cash,Male,Mobile,Canada
Debit Card,Female,Desktop,UK
Debit Card,Female,Mobile,India
Cash,Female,Tablet,India
Credit Card,Female,Desktop,USA
Debit Card,Female,Tablet,India
Debit Card,Male,Mobile,USA
Credit Card,Female,Desktop,UK
Credit Card,Female,Desktop,Germany
Debit Card,Male,Desktop,USA
Debit Card,Male,Desktop,Germany
Cash,Female,Tablet,UK
Debit Card,Male,Desktop,Germany
PayPal,Female,Desktop,Canada
Debit Card,Male,Tablet,Australia
Credit Card,Male,Desktop,India
Credit Card,Female,Desktop,UK
Cash,Female,Desktop,UK
Cash,Female,Mobile,Canada
Credit Card,Male,Tablet,Canada
Debit Card,Female,Desktop,USA
Cash,Male,Mobile,UK
PayPal,Female,Mobile,India
Credit Card,Female,Desktop,Australia
PayPal,Female,Desktop,Australia
Credit Card,Male,Desktop,Canada
Debit Card,Female,Desktop,Australia
Credit Card,Female,Mobile,Australia
Cash,Male,Tablet,USA
PayPal,Male,Mobile,Canada
Debit Card,Male,Desktop,India
PayPal,Female,Tablet,Germany
Cash,Male,Tablet,Canada
Cash,Female,Desktop,India
Debit Card,Female,Desktop,Australia
Credit Card,Male,Tablet,USA
PayPal,Male,Tablet,Canada
Debit Card,Male,Mobile,India
Cash,Female,Desktop,USA
Debit Card,Female,Tablet,Germany
Cash,Male,Mobile,USA
Debit Card,Male,Tablet,Canada
Credit Card,Female,Tablet,India
Credit Card,Female,Mobile,India
PayPal,Male,Tablet,Germany
Cash,Male,Desktop,UK
Debit Card,Female,Mobile,Australia
Cash,Female,Tablet,Germany
Cash,Female,Desktop,UK
Cash,Male,Tablet,India
PayPal,Female,Tablet,Germany
Cash,Female,Tablet,USA
Credit Card,Male,Desktop,USA
PayPal,Female,Mobile,Australia
